"Date","Price","Open","High","Low","Change %"
"Nov 25, 2014","1.2475","1.2443","1.2487","1.2401","0.26%"
"Nov 24, 2014","1.2443","1.2376","1.2445","1.2357","0.43%"
"Nov 21, 2014","1.2390","1.2541","1.2571","1.2376","-1.20%"
"Nov 20, 2014","1.2540","1.2555","1.2576","1.2504","-0.11%"
"Nov 19, 2014","1.2554","1.2537","1.2600","1.2512","0.14%"
"Nov 18, 2014","1.2537","1.2450","1.2546","1.2442","0.70%"
"Nov 17, 2014","1.2450","1.2526","1.2578","1.2444","-0.58%"
"Nov 14, 2014","1.2523","1.2477","1.2548","1.2399","0.37%"
"Nov 13, 2014","1.2477","1.2439","1.2492","1.2426","0.31%"
"Nov 12, 2014","1.2439","1.2476","1.2499","1.2418","-0.29%"
"Nov 11, 2014","1.2475","1.2421","1.2500","1.2394","0.43%"
"Nov 10, 2014","1.2421","1.2452","1.2510","1.2417","-0.26%"
"Nov 07, 2014","1.2454","1.2376","1.2471","1.2359","0.64%"
"Nov 06, 2014","1.2375","1.2487","1.2535","1.2365","-0.89%"
"Nov 05, 2014","1.2486","1.2546","1.2568","1.2457","-0.48%"
"Nov 04, 2014","1.2546","1.2483","1.2578","1.2481","0.50%"
"Nov 03, 2014","1.2483","1.2515","1.2517","1.2441","-0.34%"
"Oct 31, 2014","1.2525","1.2612","1.2618","1.2485","-0.70%"
"Oct 30, 2014","1.2613","1.2631","1.2640","1.2547","-0.15%"
"Oct 29, 2014","1.2632","1.2735","1.2772","1.2631","-0.80%"
"Oct 28, 2014","1.2734","1.2698","1.2765","1.2683","0.28%"
"Oct 27, 2014","1.2698","1.2683","1.2725","1.2666","0.22%"
"Oct 24, 2014","1.2670","1.2645","1.2696","1.2633","0.18%"
"Oct 23, 2014","1.2647","1.2651","1.2679","1.2614","-0.02%"
"Oct 22, 2014","1.2649","1.2716","1.2740","1.2636","-0.52%"
"Oct 21, 2014","1.2715","1.2801","1.2841","1.2713","-0.66%"
"Oct 20, 2014","1.2799","1.2758","1.2817","1.2731","0.28%"
"Oct 17, 2014","1.2763","1.2811","1.2837","1.2744","-0.36%"
"Oct 16, 2014","1.2809","1.2837","1.2847","1.2706","-0.22%"
"Oct 15, 2014","1.2837","1.2659","1.2886","1.2624","1.41%"
"Oct 14, 2014","1.2659","1.2752","1.2769","1.2640","-0.74%"
"Oct 13, 2014","1.2753","1.2637","1.2762","1.2619","0.99%"
"Oct 10, 2014","1.2628","1.2691","1.2716","1.2605","-0.50%"
"Oct 09, 2014","1.2691","1.2732","1.2792","1.2664","-0.34%"
"Oct 08, 2014","1.2734","1.2669","1.2749","1.2622","0.51%"
"Oct 07, 2014","1.2670","1.2656","1.2683","1.2584","0.13%"
"Oct 06, 2014","1.2654","1.2510","1.2677","1.2504","1.09%"
"Oct 03, 2014","1.2517","1.2668","1.2676","1.2500","-1.19%"
"Oct 02, 2014","1.2668","1.2622","1.2698","1.2612","0.35%"
"Oct 01, 2014","1.2624","1.2631","1.2640","1.2584","-0.06%"
"Sep 30, 2014","1.2632","1.2684","1.2703","1.2571","-0.42%"
"Sep 29, 2014","1.2685","1.2685","1.2716","1.2664","0.00%"
"Sep 26, 2014","1.2685","1.2752","1.2761","1.2677","-0.51%"
"Sep 25, 2014","1.2750","1.2780","1.2784","1.2698","-0.23%"
"Sep 24, 2014","1.2780","1.2846","1.2864","1.2774","-0.52%"
"Sep 23, 2014","1.2847","1.2851","1.2903","1.2842","-0.02%"
"Sep 22, 2014","1.2850","1.2827","1.2868","1.2815","0.16%"
"Sep 19, 2014","1.2829","1.2923","1.2930","1.2827","-0.73%"
"Sep 18, 2014","1.2923","1.2865","1.2931","1.2834","0.44%"
"Sep 17, 2014","1.2866","1.2959","1.2982","1.2851","-0.73%"
"Sep 16, 2014","1.2960","1.2938","1.2995","1.2922","0.14%"
"Sep 15, 2014","1.2942","1.2976","1.2982","1.2908","-0.18%"
"Sep 12, 2014","1.2965","1.2925","1.2980","1.2909","0.30%"
"Sep 11, 2014","1.2926","1.2917","1.2952","1.2896","0.07%"
"Sep 10, 2014","1.2917","1.2936","1.2963","1.2883","-0.16%"
"Sep 09, 2014","1.2938","1.2898","1.2959","1.2860","0.32%"
"Sep 08, 2014","1.2897","1.2943","1.2963","1.2882","-0.41%"
"Sep 05, 2014","1.2950","1.2944","1.2986","1.2921","0.04%"
"Sep 04, 2014","1.2945","1.3147","1.3155","1.2919","-1.57%"
"Sep 03, 2014","1.3151","1.3131","1.3161","1.3122","0.14%"
"Sep 02, 2014","1.3133","1.3130","1.3139","1.3110","0.04%"
"Sep 01, 2014","1.3128","1.3138","1.3146","1.3118","-0.04%"
"Aug 29, 2014","1.3133","1.3178","1.3197","1.3131","-0.38%"
"Aug 28, 2014","1.3183","1.3193","1.3221","1.3159","-0.08%"
"Aug 27, 2014","1.3193","1.3168","1.3211","1.3152","0.18%"
"Aug 26, 2014","1.3169","1.3193","1.3216","1.3165","-0.17%"
"Aug 25, 2014","1.3192","1.3220","1.3220","1.3184","-0.39%"
"Aug 22, 2014","1.3243","1.3283","1.3298","1.3220","-0.29%"
"Aug 21, 2014","1.3282","1.3260","1.3289","1.3242","0.17%"
"Aug 20, 2014","1.3260","1.3321","1.3327","1.3255","-0.45%"
"Aug 19, 2014","1.3320","1.3363","1.3366","1.3312","-0.32%"
"Aug 18, 2014","1.3363","1.3393","1.3400","1.3352","-0.27%"
"Aug 15, 2014","1.3399","1.3366","1.3412","1.3358","0.25%"
"Aug 14, 2014","1.3365","1.3365","1.3409","1.3348","0.00%"
"Aug 13, 2014","1.3365","1.3369","1.3415","1.3342","-0.03%"
"Aug 12, 2014","1.3369","1.3386","1.3386","1.3335","-0.13%"
"Aug 11, 2014","1.3386","1.3401","1.3415","1.3378","-0.19%"
"Aug 08, 2014","1.3411","1.3363","1.3433","1.3343","0.36%"
"Aug 07, 2014","1.3363","1.3384","1.3394","1.3337","-0.14%"
"Aug 06, 2014","1.3382","1.3377","1.3388","1.3333","0.04%"
"Aug 05, 2014","1.3376","1.3422","1.3425","1.3358","-0.34%"
"Aug 04, 2014","1.3422","1.3427","1.3434","1.3408","-0.06%"
"Aug 01, 2014","1.3430","1.3392","1.3445","1.3378","0.31%"
"Jul 31, 2014","1.3389","1.3396","1.3401","1.3371","-0.06%"
"Jul 30, 2014","1.3397","1.3409","1.3416","1.3366","-0.10%"
"Jul 29, 2014","1.3410","1.3440","1.3445","1.3403","-0.23%"
"Jul 28, 2014","1.3441","1.3432","1.3445","1.3426","0.07%"
"Jul 25, 2014","1.3432","1.3466","1.3478","1.3422","-0.24%"
"Jul 24, 2014","1.3464","1.3463","1.3485","1.3437","-0.01%"
"Jul 23, 2014","1.3465","1.3465","1.3475","1.3454","-0.01%"
"Jul 22, 2014","1.3466","1.3525","1.3531","1.3460","-0.42%"
"Jul 21, 2014","1.3523","1.3527","1.3550","1.3512","-0.01%"
"Jul 18, 2014","1.3525","1.3525","1.3535","1.3491","-0.01%"
"Jul 17, 2014","1.3527","1.3525","1.3541","1.3516","0.01%"
"Jul 16, 2014","1.3525","1.3567","1.3575","1.3519","-0.35%"
"Jul 15, 2014","1.3572","1.3620","1.3628","1.3561","-0.35%"
"Jul 14, 2014","1.3620","1.3602","1.3640","1.3597","0.08%"
"Jul 11, 2014","1.3609","1.3609","1.3625","1.3591","-0.01%"
"Jul 10, 2014","1.3610","1.3644","1.3651","1.3589","-0.26%"
"Jul 09, 2014","1.3645","1.3613","1.3648","1.3601","0.24%"
"Jul 08, 2014","1.3613","1.3605","1.3619","1.3588","0.06%"
"Jul 07, 2014","1.3605","1.3596","1.3611","1.3575","0.07%"
"Jul 04, 2014","1.3596","1.3613","1.3613","1.3586","-0.11%"
"Jul 03, 2014","1.3611","1.3659","1.3665","1.3596","-0.36%"
"Jul 02, 2014","1.3660","1.3679","1.3684","1.3642","-0.14%"
"Jul 01, 2014","1.3679","1.3692","1.3701","1.3675","-0.09%"
"Jun 30, 2014","1.3692","1.3646","1.3698","1.3639","0.32%"
"Jun 27, 2014","1.3649","1.3611","1.3652","1.3609","0.28%"
"Jun 26, 2014","1.3611","1.3628","1.3641","1.3575","-0.14%"
"Jun 25, 2014","1.3630","1.3607","1.3652","1.3599","0.18%"
"Jun 24, 2014","1.3605","1.3603","1.3628","1.3582","0.00%"
"Jun 23, 2014","1.3605","1.3596","1.3615","1.3575","0.04%"
"Jun 20, 2014","1.3599","1.3607","1.3634","1.3563","-0.07%"
"Jun 19, 2014","1.3609","1.3596","1.3643","1.3582","0.10%"
"Jun 18, 2014","1.3596","1.3546","1.3599","1.3540","0.37%"
"Jun 17, 2014","1.3546","1.3574","1.3588","1.3536","-0.21%"
"Jun 16, 2014","1.3575","1.3535","1.3580","1.3514","0.24%"
"Jun 13, 2014","1.3542","1.3552","1.3580","1.3519","-0.08%"
"Jun 12, 2014","1.3553","1.3533","1.3574","1.3512","0.15%"
"Jun 11, 2014","1.3533","1.3548","1.3558","1.3521","-0.11%"
"Jun 10, 2014","1.3548","1.3594","1.3603","1.3533","-0.34%"
"Jun 09, 2014","1.3594","1.3645","1.3670","1.3583","-0.36%"
"Jun 06, 2014","1.3643","1.3662","1.3678","1.3620","-0.12%"
"Jun 05, 2014","1.3660","1.3599","1.3671","1.3504","0.45%"
"Jun 04, 2014","1.3599","1.3628","1.3639","1.3595","-0.21%"
"Jun 03, 2014","1.3628","1.3596","1.3647","1.3586","0.23%"
"Jun 02, 2014","1.3597","1.3636","1.3646","1.3589","-0.25%"
"May 30, 2014","1.3631","1.3601","1.3650","1.3598","0.21%"
"May 29, 2014","1.3602","1.3589","1.3626","1.3585","0.08%"
"May 28, 2014","1.3591","1.3635","1.3639","1.3588","-0.32%"
"May 27, 2014","1.3634","1.3647","1.3670","1.3613","-0.09%"
"May 26, 2014","1.3646","1.3626","1.3655","1.3615","0.09%"
"May 23, 2014","1.3634","1.3656","1.3660","1.3615","-0.16%"
"May 22, 2014","1.3656","1.3687","1.3689","1.3645","-0.23%"
"May 21, 2014","1.3687","1.3703","1.3724","1.3635","-0.12%"
"May 20, 2014","1.3703","1.3708","1.3714","1.3678","-0.04%"
"May 19, 2014","1.3709","1.3703","1.3736","1.3688","0.10%"
"May 16, 2014","1.3695","1.3712","1.3729","1.3687","-0.12%"
"May 15, 2014","1.3711","1.3715","1.3733","1.3648","-0.03%"
"May 14, 2014","1.3715","1.3704","1.3732","1.3697","0.08%"
"May 13, 2014","1.3704","1.3758","1.3773","1.3691","-0.39%"
"May 12, 2014","1.3757","1.3750","1.3775","1.3748","-0.02%"
"May 09, 2014","1.3760","1.3841","1.3847","1.3746","-0.59%"
"May 08, 2014","1.3841","1.3911","1.3993","1.3832","-0.51%"
"May 07, 2014","1.3912","1.3928","1.3940","1.3910","-0.11%"
"May 06, 2014","1.3928","1.3875","1.3952","1.3869","0.37%"
"May 05, 2014","1.3876","1.3872","1.3892","1.3865","0.04%"
"May 02, 2014","1.3870","1.3868","1.3881","1.3811","0.00%"
"May 01, 2014","1.3870","1.3866","1.3889","1.3861","0.01%"
"Apr 30, 2014","1.3868","1.3813","1.3878","1.3777","0.41%"
"Apr 29, 2014","1.3812","1.3849","1.3879","1.3805","-0.27%"
"Apr 28, 2014","1.3850","1.3834","1.3880","1.3814","0.12%"
"Apr 25, 2014","1.3833","1.3832","1.3850","1.3826","0.01%"
"Apr 24, 2014","1.3832","1.3819","1.3843","1.3792","0.11%"
"Apr 23, 2014","1.3817","1.3805","1.3855","1.3800","0.09%"
"Apr 22, 2014","1.3805","1.3794","1.3826","1.3785","0.09%"
"Apr 21, 2014","1.3792","1.3809","1.3832","1.3786","-0.17%"
"Apr 18, 2014","1.3815","1.3814","1.3825","1.3808","0.00%"
"Apr 17, 2014","1.3815","1.3816","1.3866","1.3810","-0.01%"
"Apr 16, 2014","1.3816","1.3814","1.3852","1.3804","0.01%"
"Apr 15, 2014","1.3814","1.3821","1.3835","1.3790","-0.05%"
"Apr 14, 2014","1.3821","1.3839","1.3866","1.3810","-0.46%"
"Apr 11, 2014","1.3885","1.3888","1.3907","1.3864","-0.02%"
"Apr 10, 2014","1.3888","1.3855","1.3899","1.3835","0.24%"
"Apr 09, 2014","1.3855","1.3794","1.3862","1.3779","0.43%"
"Apr 08, 2014","1.3796","1.3741","1.3813","1.3737","0.40%"
"Apr 07, 2014","1.3741","1.3696","1.3749","1.3689","0.28%"
"Apr 04, 2014","1.3703","1.3719","1.3732","1.3672","-0.12%"
"Apr 03, 2014","1.3720","1.3768","1.3807","1.3699","-0.34%"
"Apr 02, 2014","1.3767","1.3792","1.3821","1.3752","-0.20%"
"Apr 01, 2014","1.3794","1.3769","1.3817","1.3767","0.17%"
"Mar 31, 2014","1.3771","1.3755","1.3807","1.3734","0.13%"
"Mar 28, 2014","1.3753","1.3740","1.3773","1.3705","0.09%"
"Mar 27, 2014","1.3740","1.3781","1.3798","1.3729","-0.31%"
"Mar 26, 2014","1.3783","1.3827","1.3829","1.3777","-0.32%"
"Mar 25, 2014","1.3827","1.3839","1.3848","1.3750","-0.09%"
"Mar 24, 2014","1.3839","1.3792","1.3876","1.3760","0.33%"
"Mar 21, 2014","1.3794","1.3779","1.3813","1.3767","0.11%"
"Mar 20, 2014","1.3779","1.3832","1.3845","1.3749","-0.39%"
"Mar 19, 2014","1.3833","1.3933","1.3935","1.3809","-0.72%"
"Mar 18, 2014","1.3934","1.3921","1.3942","1.3880","0.09%"
"Mar 17, 2014","1.3922","1.3911","1.3949","1.3879","0.06%"
"Mar 14, 2014","1.3914","1.3866","1.3937","1.3847","0.32%"
"Mar 13, 2014","1.3869","1.3903","1.3968","1.3844","-0.25%"
"Mar 12, 2014","1.3904","1.3859","1.3914","1.3841","0.32%"
"Mar 11, 2014","1.3859","1.3874","1.3880","1.3832","-0.13%"
"Mar 10, 2014","1.3877","1.3875","1.3898","1.3861","-0.01%"
"Mar 07, 2014","1.3878","1.3860","1.3917","1.3854","0.12%"
"Mar 06, 2014","1.3861","1.3734","1.3874","1.3723","0.93%"
"Mar 05, 2014","1.3733","1.3742","1.3746","1.3706","-0.08%"
"Mar 04, 2014","1.3744","1.3735","1.3782","1.3720","0.07%"
"Mar 03, 2014","1.3735","1.3786","1.3793","1.3725","-0.49%"
"Feb 28, 2014","1.3803","1.3708","1.3824","1.3693","0.69%"
"Feb 27, 2014","1.3709","1.3687","1.3727","1.3642","0.15%"
"Feb 26, 2014","1.3688","1.3744","1.3758","1.3661","-0.42%"
"Feb 25, 2014","1.3746","1.3735","1.3767","1.3714","0.08%"
"Feb 24, 2014","1.3735","1.3735","1.3770","1.3708","-0.04%"
"Feb 21, 2014","1.3740","1.3720","1.3760","1.3704","0.16%"
"Feb 20, 2014","1.3718","1.3733","1.3763","1.3685","-0.11%"
"Feb 19, 2014","1.3733","1.3757","1.3774","1.3724","-0.18%"
"Feb 18, 2014","1.3758","1.3706","1.3770","1.3694","0.36%"
"Feb 17, 2014","1.3708","1.3688","1.3725","1.3687","0.11%"
"Feb 14, 2014","1.3693","1.3681","1.3718","1.3674","0.09%"
"Feb 13, 2014","1.3681","1.3594","1.3694","1.3586","0.64%"
"Feb 12, 2014","1.3594","1.3639","1.3655","1.3563","-0.33%"
"Feb 11, 2014","1.3639","1.3648","1.3686","1.3631","-0.06%"
"Feb 10, 2014","1.3647","1.3634","1.3653","1.3609","0.09%"
"Feb 07, 2014","1.3635","1.3590","1.3642","1.3553","0.33%"
"Feb 06, 2014","1.3590","1.3533","1.3621","1.3485","0.42%"
"Feb 05, 2014","1.3533","1.3519","1.3555","1.3498","0.10%"
"Feb 04, 2014","1.3519","1.3525","1.3539","1.3494","-0.04%"
"Feb 03, 2014","1.3525","1.3493","1.3536","1.3476","0.28%"
"Jan 31, 2014","1.3487","1.3557","1.3570","1.3480","-0.51%"
"Jan 30, 2014","1.3556","1.3662","1.3666","1.3543","-0.78%"
"Jan 29, 2014","1.3663","1.3668","1.3685","1.3603","-0.04%"
"Jan 28, 2014","1.3669","1.3673","1.3689","1.3629","-0.02%"
"Jan 27, 2014","1.3672","1.3677","1.3718","1.3654","-0.04%"
"Jan 24, 2014","1.3678","1.3697","1.3741","1.3665","-0.12%"
"Jan 23, 2014","1.3695","1.3547","1.3699","1.3530","1.09%"
"Jan 22, 2014","1.3548","1.3559","1.3584","1.3535","-0.10%"
"Jan 21, 2014","1.3561","1.3552","1.3571","1.3518","0.07%"
"Jan 20, 2014","1.3552","1.3543","1.3570","1.3508","0.08%"
"Jan 17, 2014","1.3541","1.3620","1.3623","1.3517","-0.58%"
"Jan 16, 2014","1.3620","1.3604","1.3650","1.3582","0.11%"
"Jan 15, 2014","1.3605","1.3680","1.3684","1.3582","-0.54%"
"Jan 14, 2014","1.3679","1.3670","1.3699","1.3648","0.05%"
"Jan 13, 2014","1.3672","1.3669","1.3685","1.3637","0.01%"
"Jan 10, 2014","1.3670","1.3609","1.3689","1.3577","0.45%"
"Jan 09, 2014","1.3609","1.3577","1.3636","1.3550","0.25%"
"Jan 08, 2014","1.3575","1.3617","1.3636","1.3554","-0.30%"
"Jan 07, 2014","1.3616","1.3627","1.3657","1.3596","-0.09%"
"Jan 06, 2014","1.3628","1.3589","1.3653","1.3571","0.29%"
"Jan 03, 2014","1.3588","1.3672","1.3674","1.3582","-0.61%"
"Jan 02, 2014","1.3672","1.3756","1.3777","1.3630","-0.60%"
"Jan 01, 2014","1.3754","1.3742","1.3769","1.3742","0.06%"
"Dec 31, 2013","1.3746","1.3803","1.3813","1.3742","-0.43%"
"Dec 30, 2013","1.3805","1.3744","1.3821","1.3729","0.46%"
"Dec 27, 2013","1.3742","1.3692","1.3893","1.3686","0.37%"
"Dec 26, 2013","1.3691","1.3679","1.3702","1.3662","0.08%"
"Dec 25, 2013","1.3680","1.3684","1.3710","1.3661","-0.03%"
"Dec 24, 2013","1.3684","1.3697","1.3704","1.3655","-0.09%"
"Dec 23, 2013","1.3696","1.3670","1.3717","1.3666","0.18%"
"Dec 20, 2013","1.3672","1.3662","1.3710","1.3624","0.07%"
"Dec 19, 2013","1.3663","1.3685","1.3695","1.3649","-0.16%"
"Dec 18, 2013","1.3685","1.3770","1.3813","1.3675","-0.60%"
"Dec 17, 2013","1.3768","1.3762","1.3784","1.3724","0.05%"
"Dec 16, 2013","1.3761","1.3740","1.3799","1.3724","0.13%"
"Dec 13, 2013","1.3743","1.3755","1.3771","1.3710","-0.09%"
"Dec 12, 2013","1.3755","1.3787","1.3804","1.3736","-0.22%"
"Dec 11, 2013","1.3786","1.3760","1.3811","1.3739","0.18%"
"Dec 10, 2013","1.3761","1.3738","1.3797","1.3733","0.16%"
"Dec 09, 2013","1.3739","1.3720","1.3747","1.3694","0.24%"
"Dec 06, 2013","1.3706","1.3668","1.3708","1.3630","0.28%"
"Dec 05, 2013","1.3668","1.3594","1.3678","1.3542","0.54%"
"Dec 04, 2013","1.3594","1.3589","1.3605","1.3528","0.03%"
"Dec 03, 2013","1.3590","1.3540","1.3613","1.3523","0.35%"
"Dec 02, 2013","1.3542","1.3590","1.3617","1.3525","-0.35%"
"Nov 29, 2013","1.3590","1.3605","1.3622","1.3579","-0.11%"
"Nov 28, 2013","1.3605","1.3580","1.3619","1.3563","0.19%"
"Nov 27, 2013","1.3579","1.3571","1.3613","1.3557","0.05%"
"Nov 26, 2013","1.3572","1.3517","1.3575","1.3514","0.41%"
"Nov 25, 2013","1.3516","1.3550","1.3561","1.3491","-0.31%"
"Nov 22, 2013","1.3558","1.3482","1.3558","1.3462","0.56%"
"Nov 21, 2013","1.3482","1.3440","1.3487","1.3399","0.32%"
"Nov 20, 2013","1.3439","1.3539","1.3579","1.3417","-0.74%"
"Nov 19, 2013","1.3539","1.3505","1.3549","1.3488","0.25%"
"Nov 18, 2013","1.3505","1.3502","1.3543","1.3475","0.07%"
"Nov 15, 2013","1.3495","1.3458","1.3506","1.3432","0.27%"
"Nov 14, 2013","1.3459","1.3489","1.3499","1.3419","-0.21%"
"Nov 13, 2013","1.3487","1.3436","1.3497","1.3392","0.38%"
"Nov 12, 2013","1.3436","1.3407","1.3457","1.3359","0.22%"
"Nov 11, 2013","1.3407","1.3361","1.3417","1.3344","0.27%"
"Nov 08, 2013","1.3371","1.3420","1.3439","1.3317","-0.37%"
"Nov 07, 2013","1.3420","1.3514","1.3529","1.3296","-0.68%"
"Nov 06, 2013","1.3512","1.3476","1.3550","1.3468","0.28%"
"Nov 05, 2013","1.3474","1.3514","1.3523","1.3449","-0.31%"
"Nov 04, 2013","1.3516","1.3489","1.3527","1.3443","0.22%"
"Nov 01, 2013","1.3487","1.3584","1.3592","1.3481","-0.71%"
"Oct 31, 2013","1.3584","1.3737","1.3740","1.3577","-1.11%"
"Oct 30, 2013","1.3736","1.3745","1.3785","1.3696","-0.07%"
"Oct 29, 2013","1.3746","1.3784","1.3813","1.3735","-0.28%"
"Oct 28, 2013","1.3784","1.3803","1.3817","1.3775","-0.15%"
"Oct 25, 2013","1.3805","1.3801","1.3833","1.3774","0.04%"
"Oct 24, 2013","1.3800","1.3776","1.3826","1.3764","0.17%"
"Oct 23, 2013","1.3777","1.3784","1.3794","1.3741","-0.03%"
"Oct 22, 2013","1.3781","1.3683","1.3794","1.3662","0.72%"
"Oct 21, 2013","1.3683","1.3687","1.3691","1.3651","-0.01%"
"Oct 18, 2013","1.3685","1.3674","1.3704","1.3659","0.07%"
"Oct 17, 2013","1.3676","1.3535","1.3681","1.3514","1.04%"
"Oct 16, 2013","1.3535","1.3523","1.3567","1.3472","0.09%"
"Oct 15, 2013","1.3523","1.3561","1.3571","1.3479","-0.28%"
"Oct 14, 2013","1.3561","1.3544","1.3598","1.3542","0.14%"
"Oct 11, 2013","1.3542","1.3519","1.3582","1.3517","0.16%"
"Oct 10, 2013","1.3520","1.3524","1.3546","1.3488","-0.03%"
"Oct 09, 2013","1.3524","1.3573","1.3605","1.3486","-0.36%"
"Oct 08, 2013","1.3573","1.3583","1.3609","1.3558","-0.07%"
"Oct 07, 2013","1.3582","1.3556","1.3592","1.3542","0.18%"
"Oct 04, 2013","1.3558","1.3618","1.3632","1.3538","-0.44%"
"Oct 03, 2013","1.3618","1.3577","1.3646","1.3576","0.29%"
"Oct 02, 2013","1.3579","1.3527","1.3609","1.3509","0.39%"
"Oct 01, 2013","1.3526","1.3528","1.3590","1.3517","0.00%"
"Sep 30, 2013","1.3526","1.3480","1.3557","1.3468","0.03%"
"Sep 27, 2013","1.3522","1.3487","1.3565","1.3473","0.24%"
"Sep 26, 2013","1.3489","1.3526","1.3529","1.3471","-0.27%"
"Sep 25, 2013","1.3526","1.3473","1.3538","1.3461","0.39%"
"Sep 24, 2013","1.3474","1.3493","1.3519","1.3464","-0.14%"
"Sep 23, 2013","1.3493","1.3546","1.3556","1.3479","-0.23%"
"Sep 20, 2013","1.3524","1.3531","1.3550","1.3498","-0.04%"
"Sep 19, 2013","1.3530","1.3521","1.3569","1.3500","0.06%"
"Sep 18, 2013","1.3522","1.3359","1.3542","1.3338","1.22%"
"Sep 17, 2013","1.3359","1.3334","1.3371","1.3326","0.19%"
"Sep 16, 2013","1.3334","1.3306","1.3386","1.3296","0.30%"
"Sep 13, 2013","1.3294","1.3299","1.3323","1.3255","-0.04%"
"Sep 12, 2013","1.3299","1.3310","1.3326","1.3261","-0.10%"
"Sep 11, 2013","1.3312","1.3270","1.3327","1.3245","0.33%"
"Sep 10, 2013","1.3268","1.3255","1.3276","1.3230","0.10%"
"Sep 09, 2013","1.3255","1.3169","1.3281","1.3159","0.57%"
"Sep 06, 2013","1.3180","1.3119","1.3189","1.3104","0.46%"
"Sep 05, 2013","1.3120","1.3207","1.3223","1.3110","-0.67%"
